Scene Irradiance,Image Brightness
0.0,0.0
0.0009775170999999987,0.009263684020368423
0.001955034000000005,0.015801084534894733
0.002932551000000004,0.021399413539473677
0.00391006800000001,0.026414545592105265
0.004887586000000025,0.03102673770105264
0.005865102999999999,0.03535151354263156
0.006842620000000015,0.03946947251421053
0.007820136999999968,0.04341827710631579
0.008797654000000033,0.04723857987736844
0.009775171000000022,0.050945578715263104
0.010752689999999952,0.054547514069473696
0.011730210000000034,0.058057789107894726
0.012707720000000007,0.061481297922105244
0.01368524000000003,0.06482711601052632
0.01466276000000006,0.06809562725052627
0.015640270000000008,0.07129761333894738
0.016617790000000056,0.0744395304310526
0.017595309999999947,0.07752558074736844
0.018572830000000064,0.08055771719473684
0.01955033999999992,0.08354056555263159
0.02052786000000004,0.0864795231526316
0.021505379999999904,0.08937743257368426
0.022482890000000023,0.09223495166842109
0.023460410000000112,0.09505373183157899
0.02443793000000002,0.09783392263684211
0.025415440000000015,0.10057954188421052
0.026392959999999934,0.10329234372631577
0.02737048000000006,0.10597604138947378
0.02834800000000001,0.10862847269473683
0.029325509999999923,0.1112509453894737
0.030303029999999866,0.11384659624736837
0.03128054999999997,0.11641776794736841
0.03225806000000012,0.11896706924210534
0.03323558000000011,0.12149496169473697
0.03421309999999992,0.12400093514210535
0.035190619999999895,0.12648684421578948
0.03616813000000006,0.12895421213684202
0.03714565000000006,0.1314021107631579
0.038123170000000185,0.13383161662631582
0.03910067999999984,0.13624260422105264
0.04007819999999996,0.13863846905263147
0.04105572000000008,0.1410183255894736
0.042033240000000124,0.1433807423421052
0.043010749999999875,0.14573105949473683
0.043988269999999885,0.148067256368421
0.04496578999999994,0.15038711838947372
0.04594330000000002,0.15269542825263158
0.046920820000000224,0.15499040677368414
0.047898339999999866,0.15727101102105265
0.04887586000000004,0.15954222219999997
0.04985336999999994,0.16180373801052636
0.05083089000000014,0.1640527012894737
0.05180840999999976,0.1662946507263158
0.05278591999999987,0.16852528818947377
0.05376344000000019,0.17074713782631595
0.05474096000000012,0.17296213216315798
0.05571847999999997,0.1751664131421052
0.05669598999999983,0.1773649572105264
0.05767351000000014,0.17955734137894744
0.05865103000000004,0.18174182778421044
0.05962854000000015,0.18391845664210532
0.06060605999999973,0.1860890247315789
0.061583580000000145,0.18825063410526305
0.06256109000000029,0.19040558975789465
0.06353861000000012,0.19255539485263148
0.0645161299999999,0.19469757283684214
0.06549365000000007,0.1968330243631579
0.06647116000000022,0.19896230566842096
0.06744868000000002,0.20108602170526316
0.06842619999999984,0.20320325891052626
0.06940370999999969,0.205313785831579
0.0703812300000002,0.2074171693947369
0.07135874999999993,0.20951440827368406
0.0723362699999997,0.21160411194736853
0.07331377999999983,0.21369012312631586
0.07429130000000012,0.21577032240000008
0.07526881999999983,0.21784443770526327
0.07624633000000001,0.21991263708421047
0.07722384999999977,0.22197482253684223
0.07820137000000027,0.2240322497421052
0.07917888999999978,0.22608449419473686
0.08015639999999992,0.22813238759473684
0.08113391999999964,0.23017391212631577
0.08211144000000016,0.2322134810947368
0.08308895000000016,0.2342489810684209
0.08406646999999981,0.23627895491578935
0.0850439900000004,0.2383073862052631
0.08602151000000006,0.24033177895789468
0.08699902000000026,0.24235221704210516
0.08797653999999977,0.24436928997894727
0.08895406000000024,0.24638173611578962
0.08993156999999971,0.24839206155789462
0.09090909000000015,0.2503984978578946
0.09188660999999985,0.252400360605263
0.09286413000000011,0.2544003326842105
0.09384164000000045,0.25639660142105253
0.09481916000000011,0.25838828878421055
0.09579667999999973,0.2603773748473685
0.09677418999999997,0.26236265815263143
0.09775171000000035,0.2643433534
0.09872923,0.2663197983894736
0.09970673999999988,0.2682911314105264
0.10068429999999992,0.2702583839105262
0.10166179999999989,0.2722206906842107
0.10263929999999989,0.27417796089473656
0.10361679999999997,0.2761312976842104
0.10459429999999986,0.2780795733157893
0.1055717999999999,0.2800233028421053
0.10654939999999982,0.2819629570526315
0.10752689999999988,0.28389831136842103
0.10850439999999999,0.28582740684210534
